2883.911133, 2872.612549, 2928.899902
2883.899902, 2872.608643, 2928.899902
2883.806152, 2872.631348, 2928.915039
2883.798828, 2872.642578, 2928.933838
2883.776367, 2872.620117, 2928.929932
2883.802490, 2872.608643, 2928.941162
2883.794922, 2872.604980, 2928.948730
2883.817383, 2872.631348, 2928.952393
2883.810059, 2872.653809, 2928.907471
2883.753662, 2872.657471, 2928.870117
2883.813721, 2872.665039, 2928.870117
2883.810059, 2872.661133, 2928.858643
2883.824951, 2872.649902, 2928.828857
2883.843750, 2872.657471, 2928.810059
2883.854980, 2872.661133, 2928.780029
2883.817383, 2872.657471, 2928.783691
2883.813721, 2872.683838, 2928.794922
2883.787598, 2872.672607, 2928.791260
2883.794922, 2872.653809, 2928.794922
2883.847412, 2872.661133, 2928.821289
2883.791260, 2872.672607, 2928.840088
2883.806152, 2872.657471, 2928.873779
2883.851318, 2872.642578, 2928.881348
2883.810059, 2872.631348, 2928.881348
2883.810059, 2872.646240, 2928.885010
2883.813721, 2872.642578, 2928.892578
2883.824951, 2872.627441, 2928.858643
2883.813721, 2872.627441, 2928.854980
2883.780029, 2872.657471, 2928.847412
2883.776367, 2872.668701, 2928.824951
2883.813721, 2872.642578, 2928.798828
2883.824951, 2872.683838, 2928.768799
2883.753662, 2872.709961, 2928.783691
2883.764893, 2872.698730, 2928.806152
2883.794922, 2872.706299, 2928.817383
2883.787598, 2872.709961, 2928.821289
2883.783691, 2872.687500, 2928.821289
2883.810059, 2872.695068, 2928.798828
2883.832520, 2872.661133, 2928.832520
2883.806152, 2872.627441, 2928.836182
2883.761230, 2872.638672, 2928.843750
2883.719971, 2872.601318, 2928.832520
2883.746338, 2872.597412, 2928.810059
2883.761230, 2872.601318, 2928.783691
2883.768799, 2872.574951, 2928.798828
2883.764893, 2872.574951, 2928.794922
2883.742432, 2872.593750, 2928.810059
2883.731201, 2872.612549, 2928.817383
2883.761230, 2872.616211, 2928.817383
2883.746338, 2872.601318, 2928.806152
2883.746338, 2872.646240, 2928.828857
2883.776367, 2872.661133, 2928.843750
2883.776367, 2872.653809, 2928.851318
2883.764893, 2872.657471, 2928.836182
2883.705078, 2872.665039, 2928.791260
2883.701172, 2872.646240, 2928.783691
2883.727539, 2872.646240, 2928.791260
2883.708740, 2872.593750, 2928.794922
2883.689941, 2872.597412, 2928.776367
2883.701172, 2872.616211, 2928.776367
2883.716309, 2872.593750, 2928.750000
2883.716309, 2872.582520, 2928.738770
2883.705078, 2872.582520, 2928.753662
2883.716309, 2872.567383, 2928.772461
2883.746338, 2872.571289, 2928.764893
2883.802490, 2872.582520, 2928.761230
2883.746338, 2872.567383, 2928.742432
2883.772461, 2872.567383, 2928.738770
2883.753662, 2872.560059, 2928.757568
2883.787598, 2872.560059, 2928.746338
2883.783691, 2872.560059, 2928.738770
2883.761230, 2872.552490, 2928.750000
2883.772461, 2872.556152, 2928.716309
2883.772461, 2872.552490, 2928.727539
2883.757568, 2872.563721, 2928.731201
2883.742432, 2872.574951, 2928.723633
2883.761230, 2872.586182, 2928.708740
2883.742432, 2872.608643, 2928.701172
2883.753662, 2872.604980, 2928.678711
2883.723633, 2872.597412, 2928.731201
2883.727539, 2872.560059, 2928.742432
2883.719971, 2872.537598, 2928.723633
2883.716309, 2872.511230, 2928.735107
2883.701172, 2872.537598, 2928.735107
2883.716309, 2872.511230, 2928.742432
2883.723633, 2872.500000, 2928.719971
2883.780029, 2872.481201, 2928.746338
2883.791260, 2872.473633, 2928.764893
2883.810059, 2872.518799, 2928.750000
2883.802490, 2872.533691, 2928.738770
2883.821289, 2872.552490, 2928.719971
2883.832520, 2872.578857, 2928.735107
2883.821289, 2872.582520, 2928.753662
2883.821289, 2872.571289, 2928.750000
2883.802490, 2872.586182, 2928.780029
2883.776367, 2872.560059, 2928.806152
2883.735107, 2872.574951, 2928.824951
2883.678711, 2872.571289, 2928.821289
2883.641357, 2872.530029, 2928.851318
2883.678711, 2872.511230, 2928.847412
2883.659912, 2872.518799, 2928.858643
2883.667480, 2872.518799, 2928.847412
2883.686279, 2872.537598, 2928.828857
2883.682617, 2872.526367, 2928.836182
2883.656250, 2872.503662, 2928.832520
2883.675049, 2872.548828, 2928.854980
2883.671143, 2872.537598, 2928.851318
2883.723633, 2872.544922, 2928.843750
2883.701172, 2872.548828, 2928.824951
2883.663818, 2872.563721, 2928.806152
2883.596191, 2872.560059, 2928.817383
2883.588867, 2872.563721, 2928.817383
2883.611328, 2872.560059, 2928.810059
2883.626221, 2872.560059, 2928.806152
2883.675049, 2872.571289, 2928.787598
2883.645020, 2872.567383, 2928.768799
2883.648682, 2872.552490, 2928.708740
2883.645020, 2872.548828, 2928.735107
2883.659912, 2872.563721, 2928.727539
2883.663818, 2872.537598, 2928.716309
2883.776367, 2872.533691, 2928.742432
2883.757568, 2872.533691, 2928.742432
2883.686279, 2872.522461, 2928.735107
2883.689941, 2872.533691, 2928.753662
2883.637451, 2872.560059, 2928.802490
2883.648682, 2872.574951, 2928.798828
2883.641357, 2872.586182, 2928.866211
2883.671143, 2872.601318, 2928.851318
2883.689941, 2872.590088, 2928.858643
2883.678711, 2872.604980, 2928.873779
2883.663818, 2872.623779, 2928.881348
2883.648682, 2872.635010, 2928.881348
2883.712402, 2872.623779, 2928.915039
2883.735107, 2872.627441, 2928.903809
2883.753662, 2872.612549, 2928.862549
2883.761230, 2872.582520, 2928.885010
2883.768799, 2872.620117, 2928.854980
2883.735107, 2872.597412, 2928.873779
2883.742432, 2872.608643, 2928.896240
2883.791260, 2872.627441, 2928.892578
2883.776367, 2872.627441, 2928.851318
2883.840088, 2872.612549, 2928.828857
2883.836182, 2872.642578, 2928.824951
2883.780029, 2872.627441, 2928.817383
2883.780029, 2872.593750, 2928.813721
2883.772461, 2872.604980, 2928.794922
2883.757568, 2872.571289, 2928.791260
2883.750000, 2872.593750, 2928.761230
2883.731201, 2872.567383, 2928.761230
2883.682617, 2872.552490, 2928.776367
2883.663818, 2872.530029, 2928.772461
2883.611328, 2872.526367, 2928.794922
2883.570068, 2872.507568, 2928.794922
2883.611328, 2872.507568, 2928.783691
2883.633789, 2872.560059, 2928.768799
2883.633789, 2872.556152, 2928.768799
2883.562500, 2872.533691, 2928.791260
2883.581299, 2872.496338, 2928.810059
2883.600098, 2872.522461, 2928.787598
2883.629883, 2872.518799, 2928.787598
2883.633789, 2872.533691, 2928.776367
2883.611328, 2872.560059, 2928.794922
2883.652588, 2872.567383, 2928.791260
2883.622559, 2872.563721, 2928.787598
2883.629883, 2872.526367, 2928.802490
2883.633789, 2872.544922, 2928.798828
2883.750000, 2872.567383, 2928.783691
2883.742432, 2872.586182, 2928.776367
2883.727539, 2872.582520, 2928.794922
2883.742432, 2872.631348, 2928.821289
2883.757568, 2872.616211, 2928.847412
2883.794922, 2872.627441, 2928.854980
2883.798828, 2872.627441, 2928.854980
2883.791260, 2872.638672, 2928.862549
2883.791260, 2872.657471, 2928.870117
2883.768799, 2872.638672, 2928.854980
2883.764893, 2872.642578, 2928.877441
2883.727539, 2872.642578, 2928.933838
2883.772461, 2872.631348, 2928.915039
2883.742432, 2872.620117, 2928.903809
2883.716309, 2872.635010, 2928.888672
2883.731201, 2872.582520, 2928.877441
2883.697510, 2872.552490, 2928.866211
2883.719971, 2872.578857, 2928.881348
2883.686279, 2872.563721, 2928.881348
2883.723633, 2872.593750, 2928.911133
2883.731201, 2872.597412, 2928.885010
2883.757568, 2872.612549, 2928.806152
2883.708740, 2872.631348, 2928.794922
2883.735107, 2872.574951, 2928.806152
2883.761230, 2872.552490, 2928.817383
2883.761230, 2872.552490, 2928.783691
2883.764893, 2872.571289, 2928.813721
2883.746338, 2872.544922, 2928.794922
2883.836182, 2872.556152, 2928.798828
2883.802490, 2872.556152, 2928.802490
2883.768799, 2872.597412, 2928.821289
2883.794922, 2872.578857, 2928.851318
2883.813721, 2872.567383, 2928.873779
2883.802490, 2872.590088, 2928.847412
2883.787598, 2872.604980, 2928.858643
2883.798828, 2872.638672, 2928.870117
2883.824951, 2872.642578, 2928.858643
2883.851318, 2872.638672, 2928.858643
2883.791260, 2872.631348, 2928.828857
2883.836182, 2872.590088, 2928.813721
2883.817383, 2872.563721, 2928.783691
2883.731201, 2872.578857, 2928.794922
2883.746338, 2872.574951, 2928.806152
2883.750000, 2872.582520, 2928.791260
2883.735107, 2872.578857, 2928.802490
2883.719971, 2872.552490, 2928.836182
2883.659912, 2872.571289, 2928.806152
2883.611328, 2872.574951, 2928.813721
2883.633789, 2872.582520, 2928.847412
2883.607422, 2872.590088, 2928.858643
2883.614990, 2872.578857, 2928.866211
2883.716309, 2872.560059, 2928.854980
2883.723633, 2872.560059, 2928.858643
2883.716309, 2872.567383, 2928.888672
2883.716309, 2872.567383, 2928.870117
2883.716309, 2872.552490, 2928.858643
2883.716309, 2872.526367, 2928.873779
2883.757568, 2872.511230, 2928.896240
2883.780029, 2872.511230, 2928.866211
2883.738770, 2872.530029, 2928.862549
2883.738770, 2872.496338, 2928.866211
2883.693848, 2872.500000, 2928.832520
2883.659912, 2872.492432, 2928.810059
2883.678711, 2872.469971, 2928.787598
2883.686279, 2872.458740, 2928.761230
2883.686279, 2872.496338, 2928.757568
2883.723633, 2872.503662, 2928.761230
2883.731201, 2872.526367, 2928.735107
2883.682617, 2872.552490, 2928.761230
2883.716309, 2872.548828, 2928.735107
2883.742432, 2872.604980, 2928.731201
2883.761230, 2872.604980, 2928.742432
2883.791260, 2872.601318, 2928.753662
2883.794922, 2872.627441, 2928.757568
2883.787598, 2872.649902, 2928.787598
2883.772461, 2872.620117, 2928.772461
2883.843750, 2872.635010, 2928.772461
2883.828857, 2872.631348, 2928.806152
2883.813721, 2872.586182, 2928.836182
2883.817383, 2872.567383, 2928.888672
2883.798828, 2872.544922, 2928.903809
2883.768799, 2872.548828, 2928.907471
2883.735107, 2872.560059, 2928.885010
2883.693848, 2872.530029, 2928.877441
2883.689941, 2872.518799, 2928.903809
2883.712402, 2872.522461, 2928.918701
2883.600098, 2872.507568, 2928.911133
2883.607422, 2872.511230, 2928.896240
2883.626221, 2872.533691, 2928.873779
2883.633789, 2872.556152, 2928.866211
2883.652588, 2872.544922, 2928.851318
2883.641357, 2872.560059, 2928.873779
2883.671143, 2872.537598, 2928.870117
2883.663818, 2872.563721, 2928.870117
2883.675049, 2872.548828, 2928.828857
2883.656250, 2872.567383, 2928.836182
2883.719971, 2872.586182, 2928.824951
2883.727539, 2872.597412, 2928.802490
2883.712402, 2872.608643, 2928.794922
2883.693848, 2872.601318, 2928.764893
2883.689941, 2872.601318, 2928.764893
2883.716309, 2872.597412, 2928.764893
2883.735107, 2872.601318, 2928.791260
2883.783691, 2872.567383, 2928.813721
2883.776367, 2872.582520, 2928.854980
2883.798828, 2872.571289, 2928.824951
2883.764893, 2872.567383, 2928.836182
2883.735107, 2872.522461, 2928.817383
2883.746338, 2872.511230, 2928.840088
2883.731201, 2872.500000, 2928.843750
2883.723633, 2872.503662, 2928.862549
2883.780029, 2872.496338, 2928.873779
2883.735107, 2872.507568, 2928.870117
2883.712402, 2872.518799, 2928.870117
2883.712402, 2872.492432, 2928.832520
2883.708740, 2872.492432, 2928.862549
2883.735107, 2872.488770, 2928.877441
2883.757568, 2872.514893, 2928.915039
2883.735107, 2872.526367, 2928.903809
2883.753662, 2872.500000, 2928.907471
2883.750000, 2872.496338, 2928.870117
2883.689941, 2872.500000, 2928.866211
2883.686279, 2872.507568, 2928.870117
2883.678711, 2872.514893, 2928.843750
2883.738770, 2872.541260, 2928.862549
2883.731201, 2872.541260, 2928.866211
2883.727539, 2872.537598, 2928.873779
2883.731201, 2872.518799, 2928.877441
2883.735107, 2872.518799, 2928.847412
2883.716309, 2872.571289, 2928.851318
2883.735107, 2872.593750, 2928.877441
2883.723633, 2872.593750, 2928.858643
2883.727539, 2872.620117, 2928.851318
2883.708740, 2872.616211, 2928.885010
2883.656250, 2872.623779, 2928.873779
2883.663818, 2872.653809, 2928.862549
2883.645020, 2872.653809, 2928.858643
2883.641357, 2872.679932, 2928.870117
2883.648682, 2872.672607, 2928.911133
2883.675049, 2872.649902, 2928.892578
2883.629883, 2872.638672, 2928.888672
2883.659912, 2872.620117, 2928.862549
2883.663818, 2872.601318, 2928.873779
2883.697510, 2872.616211, 2928.870117
2883.675049, 2872.597412, 2928.843750
2883.648682, 2872.593750, 2928.851318
2883.645020, 2872.586182, 2928.866211
2883.667480, 2872.601318, 2928.840088
2883.667480, 2872.582520, 2928.817383
2883.686279, 2872.574951, 2928.840088
2883.656250, 2872.552490, 2928.847412
2883.648682, 2872.578857, 2928.885010
2883.667480, 2872.590088, 2928.873779
2883.667480, 2872.582520, 2928.903809
2883.701172, 2872.586182, 2928.929932
2883.716309, 2872.578857, 2928.915039
2883.727539, 2872.612549, 2928.873779
2883.727539, 2872.578857, 2928.877441
2883.716309, 2872.597412, 2928.858643
2883.708740, 2872.616211, 2928.866211
2883.742432, 2872.635010, 2928.873779
2883.746338, 2872.608643, 2928.888672
2883.719971, 2872.590088, 2928.915039
2883.708740, 2872.593750, 2928.858643
2883.701172, 2872.593750, 2928.881348
2883.705078, 2872.571289, 2928.911133
2883.712402, 2872.560059, 2928.903809
2883.667480, 2872.563721, 2928.907471
2883.701172, 2872.552490, 2928.941162
2883.689941, 2872.537598, 2928.933838
2883.712402, 2872.544922, 2928.926270
2883.701172, 2872.548828, 2928.907471
2883.686279, 2872.533691, 2928.862549
2883.701172, 2872.503662, 2928.892578
2883.701172, 2872.503662, 2928.854980
2883.712402, 2872.507568, 2928.840088
2883.701172, 2872.503662, 2928.851318
2883.723633, 2872.518799, 2928.847412
2883.712402, 2872.526367, 2928.836182
2883.701172, 2872.518799, 2928.843750
2883.689941, 2872.507568, 2928.851318
2883.686279, 2872.511230, 2928.854980
2883.705078, 2872.522461, 2928.881348
2883.693848, 2872.556152, 2928.885010
2883.693848, 2872.556152, 2928.911133
2883.656250, 2872.582520, 2928.907471
2883.678711, 2872.601318, 2928.941162
2883.682617, 2872.590088, 2928.929932
2883.678711, 2872.590088, 2928.937500
2883.675049, 2872.601318, 2928.941162
2883.675049, 2872.590088, 2928.899902
2883.686279, 2872.608643, 2928.896240
2883.716309, 2872.623779, 2928.911133
2883.712402, 2872.623779, 2928.873779
2883.697510, 2872.623779, 2928.896240
2883.716309, 2872.601318, 2928.885010
2883.705078, 2872.556152, 2928.885010
2883.693848, 2872.556152, 2928.892578
2883.693848, 2872.552490, 2928.888672
2883.712402, 2872.552490, 2928.843750
2883.731201, 2872.560059, 2928.877441
2883.753662, 2872.537598, 2928.866211
2883.697510, 2872.518799, 2928.858643
2883.693848, 2872.518799, 2928.885010
2883.701172, 2872.533691, 2928.858643
2883.629883, 2872.548828, 2928.817383
2883.596191, 2872.556152, 2928.798828
2883.600098, 2872.586182, 2928.806152
2883.600098, 2872.578857, 2928.787598
2883.596191, 2872.597412, 2928.843750
2883.596191, 2872.604980, 2928.851318
2883.577393, 2872.616211, 2928.832520
2883.629883, 2872.657471, 2928.832520
2883.626221, 2872.635010, 2928.836182
2883.652588, 2872.638672, 2928.851318
2883.697510, 2872.612549, 2928.877441
2883.735107, 2872.612549, 2928.899902
2883.738770, 2872.593750, 2928.911133
2883.731201, 2872.593750, 2928.926270
2883.719971, 2872.578857, 2928.877441
2883.727539, 2872.593750, 2928.877441
2883.738770, 2872.582520, 2928.888672
2883.742432, 2872.544922, 2928.881348
2883.731201, 2872.574951, 2928.862549
2883.716309, 2872.548828, 2928.843750
2883.716309, 2872.571289, 2928.854980
2883.667480, 2872.593750, 2928.824951
2883.682617, 2872.590088, 2928.836182
2883.705078, 2872.578857, 2928.794922
2883.667480, 2872.567383, 2928.817383
2883.675049, 2872.544922, 2928.806152
2883.667480, 2872.544922, 2928.817383
2883.603760, 2872.548828, 2928.813721
2883.633789, 2872.541260, 2928.832520
2883.611328, 2872.533691, 2928.840088
2883.671143, 2872.541260, 2928.873779
2883.682617, 2872.511230, 2928.881348
2883.671143, 2872.514893, 2928.881348
2883.656250, 2872.526367, 2928.922607
2883.753662, 2872.537598, 2928.945068
2883.768799, 2872.541260, 2928.956299
2883.746338, 2872.530029, 2928.956299
2883.798828, 2872.537598, 2928.948730
2883.787598, 2872.537598, 2928.956299
2883.843750, 2872.571289, 2928.933838
2883.817383, 2872.571289, 2928.911133
2883.840088, 2872.586182, 2928.918701
2883.862549, 2872.593750, 2928.903809
2883.877441, 2872.597412, 2928.907471
2883.847412, 2872.597412, 2928.881348
2883.794922, 2872.646240, 2928.866211
2883.832520, 2872.668701, 2928.892578
2883.832520, 2872.665039, 2928.911133
2883.802490, 2872.657471, 2928.870117
2883.753662, 2872.649902, 2928.892578
2883.761230, 2872.635010, 2928.888672
2883.776367, 2872.627441, 2928.870117
2883.738770, 2872.593750, 2928.862549
2883.742432, 2872.653809, 2928.866211
2883.716309, 2872.642578, 2928.873779
2883.738770, 2872.590088, 2928.888672
2883.723633, 2872.586182, 2928.858643
2883.731201, 2872.563721, 2928.870117
2883.780029, 2872.563721, 2928.899902
2883.761230, 2872.578857, 2928.892578
2883.753662, 2872.567383, 2928.873779
2883.757568, 2872.578857, 2928.854980
2883.723633, 2872.593750, 2928.847412
2883.705078, 2872.544922, 2928.824951
2883.701172, 2872.552490, 2928.821289
2883.746338, 2872.530029, 2928.794922
2883.738770, 2872.533691, 2928.802490
2883.735107, 2872.578857, 2928.750000
2883.712402, 2872.582520, 2928.723633
2883.712402, 2872.560059, 2928.705078
2883.705078, 2872.567383, 2928.716309
2883.719971, 2872.563721, 2928.764893
2883.761230, 2872.571289, 2928.772461
2883.810059, 2872.571289, 2928.791260
2883.806152, 2872.574951, 2928.802490
2883.738770, 2872.612549, 2928.836182
2883.772461, 2872.623779, 2928.824951
2883.753662, 2872.586182, 2928.862549
2883.746338, 2872.574951, 2928.881348
2883.794922, 2872.597412, 2928.896240
2883.806152, 2872.635010, 2928.922607
2883.780029, 2872.631348, 2928.903809
2883.794922, 2872.616211, 2928.907471
2883.738770, 2872.631348, 2928.915039
2883.738770, 2872.638672, 2928.926270
2883.742432, 2872.642578, 2928.903809
2883.731201, 2872.631348, 2928.899902
2883.742432, 2872.646240, 2928.903809
2883.731201, 2872.661133, 2928.948730
2883.708740, 2872.649902, 2928.959961
2883.689941, 2872.627441, 2928.948730
2883.641357, 2872.612549, 2928.948730
2883.618652, 2872.620117, 2928.933838
2883.614990, 2872.616211, 2928.911133
2883.633789, 2872.590088, 2928.885010
2883.633789, 2872.578857, 2928.885010
2883.592529, 2872.582520, 2928.915039
2883.596191, 2872.556152, 2928.903809
2883.652588, 2872.541260, 2928.824951
2883.689941, 2872.548828, 2928.840088
2883.701172, 2872.541260, 2928.840088
2883.757568, 2872.563721, 2928.847412
2883.757568, 2872.578857, 2928.862549
2883.753662, 2872.582520, 2928.824951
2883.738770, 2872.593750, 2928.828857
2883.753662, 2872.567383, 2928.847412
2883.772461, 2872.548828, 2928.828857
2883.794922, 2872.537598, 2928.840088
2883.772461, 2872.560059, 2928.881348
2883.719971, 2872.544922, 2928.866211
2883.708740, 2872.590088, 2928.858643
2883.712402, 2872.556152, 2928.870117
2883.723633, 2872.560059, 2928.870117
2883.742432, 2872.544922, 2928.915039
2883.719971, 2872.548828, 2928.933838
2883.719971, 2872.578857, 2928.892578
2883.738770, 2872.601318, 2928.899902
2883.750000, 2872.635010, 2928.926270
2883.723633, 2872.631348, 2928.885010
2883.693848, 2872.620117, 2928.870117
2883.723633, 2872.571289, 2928.858643
2883.693848, 2872.620117, 2928.828857
2883.671143, 2872.604980, 2928.780029
2883.663818, 2872.616211, 2928.787598
2883.682617, 2872.627441, 2928.768799
2883.689941, 2872.631348, 2928.836182
2883.697510, 2872.635010, 2928.821289
2883.652588, 2872.635010, 2928.776367
2883.641357, 2872.608643, 2928.817383
2883.667480, 2872.623779, 2928.832520
2883.659912, 2872.616211, 2928.870117
2883.686279, 2872.601318, 2928.899902
2883.719971, 2872.616211, 2928.959961
2883.708740, 2872.597412, 2928.918701
2883.738770, 2872.593750, 2928.937500
2883.753662, 2872.586182, 2928.896240
2883.731201, 2872.574951, 2928.892578
2883.735107, 2872.578857, 2928.888672
2883.780029, 2872.574951, 2928.896240
2883.806152, 2872.574951, 2928.896240
2883.791260, 2872.616211, 2928.873779
2883.791260, 2872.631348, 2928.843750
2883.716309, 2872.608643, 2928.851318
2883.712402, 2872.627441, 2928.881348
2883.701172, 2872.631348, 2928.854980
2883.656250, 2872.627441, 2928.866211
2883.648682, 2872.620117, 2928.885010
2883.645020, 2872.582520, 2928.896240
2883.611328, 2872.571289, 2928.881348
2883.577393, 2872.552490, 2928.843750
2883.600098, 2872.507568, 2928.847412
2883.603760, 2872.473633, 2928.854980
2883.689941, 2872.488770, 2928.840088
2883.697510, 2872.492432, 2928.851318
2883.723633, 2872.481201, 2928.866211
2883.746338, 2872.488770, 2928.866211
2883.727539, 2872.511230, 2928.847412
2883.738770, 2872.530029, 2928.873779
2883.761230, 2872.578857, 2928.862549
2883.806152, 2872.590088, 2928.877441
2883.828857, 2872.601318, 2928.877441
2883.787598, 2872.616211, 2928.885010
2883.791260, 2872.638672, 2928.926270
2883.802490, 2872.623779, 2928.899902
2883.794922, 2872.642578, 2928.899902
2883.768799, 2872.646240, 2928.892578
2883.798828, 2872.623779, 2928.929932
2883.794922, 2872.646240, 2928.911133
2883.806152, 2872.638672, 2928.903809
2883.794922, 2872.665039, 2928.907471
2883.761230, 2872.679932, 2928.937500
2883.794922, 2872.679932, 2928.941162
2883.761230, 2872.653809, 2928.907471
2883.742432, 2872.661133, 2928.899902
2883.697510, 2872.657471, 2928.885010
2883.689941, 2872.649902, 2928.933838
2883.693848, 2872.676270, 2928.929932
2883.678711, 2872.661133, 2928.933838
2883.682617, 2872.672607, 2928.952393
2883.675049, 2872.668701, 2928.952393
2883.671143, 2872.649902, 2928.911133
2883.671143, 2872.657471, 2928.918701
2883.682617, 2872.676270, 2928.888672
2883.705078, 2872.676270, 2928.907471
2883.731201, 2872.676270, 2928.922607
2883.761230, 2872.672607, 2928.888672
2883.731201, 2872.646240, 2928.840088
2883.772461, 2872.657471, 2928.821289
